Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Date,,,,,
2022-06-17,11130.3896484375,11290.0,11130.25,11178.5,731831
2022-06-21,11577.25,11678.25,11273.75,11332.5,657209
2022-06-22,11565.75,11745.75,11320.5,11579.75,638960
2022-06-23,11737.5,11766.75,11460.5,11542.75,630125
2022-06-24,12140.5,12148.5,11684.75,11687.75,563303
2022-06-27,12040.5,12262.0,11994.25,12137.5,565803
2022-06-28,11674.25,12174.25,11661.5,12076.25,634694
2022-06-29,11691.0,11749.0,11564.5,11680.5,590173
2022-06-30,11529.5,11696.75,11351.0,11691.5,738071
2022-07-01,11611.25,11629.75,11381.75,11507.5,605401
2022-07-05,11808.5,11815.75,11389.25,11606.0,790937
2022-07-06,11880.25,11974.25,11727.75,11820.25,649912
2022-07-07,12138.5,12168.5,11836.5,11901.25,550463
2022-07-08,12152.0,12211.0,11952.5,12115.0,640445
2022-07-11,11884.25,12149.75,11853.0,12149.75,578336
2022-07-12,11779.0,12025.5,11712.0,11900.5,607949
2022-07-13,11762.25,11970.0,11479.25,11780.0,732270
2022-07-14,11797.5,11835.0,11511.25,11729.5,654560
2022-07-15,12007.5,12021.5,11740.25,11810.5,560980
2022-07-18,11907.0,12186.5,11857.0,12043.5,553676
2022-07-19,12274.0,12328.5,11889.5,11909.5,585591
2022-07-20,12465.25,12517.5,12235.75,12330.5,643607
2022-07-21,12640.0,12655.25,12373.5,12440.0,605066
2022-07-22,12423.5,12698.5,12343.75,12559.25,634548
2022-07-25,12354.5,12498.5,12266.5,12444.5,491612
2022-07-26,12112.5,12334.0,12072.0,12311.25,536287
2022-07-27,12619.0,12690.0,12191.75,12192.0,634889
2022-07-28,12737.5,12948.0,12449.0,12580.0,645261
2022-07-29,12971.5,13012.0,12744.25,12920.25,592416
2022-08-01,12962.5,13108.75,12851.75,12981.0,622511
2022-08-02,12924.5,13097.0,12814.75,12974.25,674564
2022-08-03,13271.5,13310.25,12867.25,12921.0,690056
2022-08-04,13327.0,13356.0,13184.75,13247.0,542680
2022-08-05,13228.75,13384.5,13085.0,13327.25,687792
2022-08-08,13183.25,13419.25,13120.5,13227.75,597182
2022-08-09,13031.5,13233.75,12963.25,13206.25,553704
2022-08-10,13392.0,13408.0,12982.0,13050.0,602069
2022-08-11,13311.25,13575.0,13285.0,13380.5,614816
2022-08-12,13577.75,13583.25,13312.0,13344.25,500647
2022-08-15,13681.25,13706.0,13495.25,13571.5,463768
2022-08-16,13658.25,13740.75,13522.75,13674.75,555979
2022-08-17,13493.25,13672.0,13406.25,13658.0,610667
2022-08-18,13523.25,13575.5,13410.75,13503.0,530513
2022-08-19,13268.5,13534.5,13228.75,13534.25,618758
2022-08-22,12909.75,13226.5,12874.5,13226.5,599946
2022-08-23,12896.5,13018.5,12823.5,12933.75,570278
2022-08-24,12929.75,13011.25,12825.75,12892.0,503227
2022-08-25,13156.0,13161.5,12925.0,12944.0,543666
2022-08-26,12620.5,13220.0,12557.5,13153.75,753862
2022-08-29,12492.75,12610.25,12401.5,12485.0,693093
2022-08-30,12358.75,12658.25,12247.5,12503.5,797462
2022-08-31,12285.25,12513.0,12276.25,12366.0,672068
2022-09-01,12292.25,12299.5,12017.75,12284.75,820606
2022-09-02,12104.25,12461.5,12040.25,12297.75,835870
2022-09-06,12019.0,12244.5,11930.0,12110.5,895450
2022-09-07,12263.25,12306.25,11921.5,12019.75,677159
2022-09-08,12321.75,12379.5,12115.75,12267.75,737024
2022-09-09,12592.5,12613.75,12329.5,12345.25,535984
2022-09-12,12740.75,12773.75,12573.25,12626.0,444255
2022-09-13,12036.5,12889.0,12003.25,12769.5,463841
2022-09-14,12142.0,12173.0,12001.75,12050.25,270232
2022-09-15,11934.75,12187.75,11866.5,12159.0,169928
2022-09-16,11814.580078125,11880.0,11750.5,11880.0,754923
2022-09-19,12024.0,12066.25,11792.25,11920.0,632663
2022-09-20,11922.25,12092.5,11828.25,12045.75,704882
2022-09-21,11710.0,12140.5,11647.5,11946.0,822965
2022-09-22,11565.5,11796.0,11510.0,11661.25,786180
2022-09-23,11376.75,11600.25,11229.0,11583.75,799378
2022-09-26,11316.25,11537.75,11256.5,11362.5,809853
2022-09-27,11333.75,11568.25,11233.5,11315.5,841073
2022-09-28,11555.75,11613.5,11141.5,11361.0,897742
2022-09-29,11228.25,11567.25,11091.5,11544.0,891823
2022-09-30,11035.5,11357.25,11024.25,11220.0,878168
2022-10-03,11285.75,11358.25,10890.75,11030.0,757581
2022-10-04,11640.75,11675.0,11281.5,11314.5,772885
2022-10-05,11623.75,11711.0,11366.5,11630.25,700889
2022-10-06,11541.75,11729.75,11505.25,11628.0,773914
2022-10-07,11101.5,11564.5,11043.25,11494.5,759141
2022-10-10,10984.5,11136.5,10876.75,11067.75,757732
2022-10-11,10845.0,11039.5,10767.25,10987.0,833906
2022-10-12,10840.5,10976.75,10805.5,10875.0,731214
2022-10-13,11083.75,11142.75,10484.75,10859.0,1050244
2022-10-14,10744.0,11253.5,10726.75,11064.75,843525
2022-10-17,11110.25,11146.25,10713.0,10720.0,638720
2022-10-18,11198.75,11431.75,11081.5,11161.25,832215
2022-10-19,11153.25,11382.75,11049.0,11320.25,733776
2022-10-20,11090.75,11328.75,11008.0,11134.0,739672
2022-10-21,11358.5,11386.25,10935.5,11061.25,840952
2022-10-24,11478.75,11530.25,11207.75,11393.75,715016
2022-10-25,11713.5,11734.0,11430.25,11453.75,660210
2022-10-26,11446.0,11703.5,11415.0,11510.0,784638
2022-10-27,11235.25,11537.5,10921.5,11417.75,769071
2022-10-28,11587.0,11626.0,11062.0,11122.75,728261
2022-10-31,11447.25,11595.0,11367.25,11592.5,607680
2022-11-01,11332.0,11619.0,11288.75,11455.0,605362
2022-11-02,10944.5,11460.0,10909.0,11320.25,770983
2022-11-03,10728.0,10996.0,10708.0,10938.0,705050
2022-11-04,10890.25,10974.25,10636.0,10712.0,881129
2022-11-07,11014.25,11038.5,10751.0,10786.5,554692
2022-11-08,11094.25,11231.25,10928.75,11016.0,728868
2022-11-09,10830.75,11164.25,10822.25,11089.25,669071
2022-11-10,11632.25,11677.0,10808.0,10841.0,862147
2022-11-11,11848.0,11876.75,11569.25,11669.75,682257
2022-11-14,11734.75,11898.5,11702.0,11791.0,576678
2022-11-15,11904.25,12118.75,11761.75,11768.5,771822
2022-11-16,11739.5,11963.0,11706.5,11882.0,577864
2022-11-17,11710.5,11827.5,11528.25,11777.75,658469
2022-11-18,11708.0,11843.0,11607.0,11747.75,585873
2022-11-21,11588.0,11756.0,11553.0,11723.0,477970
2022-11-22,11754.5,11759.25,11526.5,11588.0,531087
2022-11-23,11862.75,11892.75,11720.0,11741.5,474645
2022-11-25,11782.75,11933.0,11766.25,11878.0,252366
2022-11-28,11616.25,11788.5,11575.25,11731.25,506250
2022-11-29,11524.75,11704.5,11465.0,11625.0,555859
2022-11-30,12042.25,12078.5,11497.75,11520.0,769082
2022-12-01,12062.75,12145.0,11943.25,12079.25,629297
2022-12-02,12010.25,12067.75,11740.5,12039.75,588295
2022-12-05,11805.75,12015.75,11745.5,12000.5,537924
2022-12-06,11566.0,11846.25,11502.0,11812.0,657271
2022-12-07,11509.5,11596.25,11422.5,11566.0,634691
2022-12-08,11645.5,11685.75,11433.0,11500.0,600826
2022-12-09,11569.75,11748.0,11517.0,11641.5,504052
2022-12-12,11711.75,11716.0,11522.75,11553.0,354886
2022-12-13,11839.75,12229.5,11680.5,11691.25,407612
2022-12-14,11750.75,11948.5,11613.75,11839.0,197122
2022-12-15,11347.25,11779.5,11298.25,11758.75,182838
2022-12-16,11327.0400390625,11381.25,11206.5,11340.25,665526
2022-12-19,11193.25,11411.0,11131.75,11328.75,562529
2022-12-20,11175.75,11247.0,11043.5,11182.5,625090
2022-12-21,11334.5,11389.75,11181.0,11206.5,631322
2022-12-22,11054.25,11384.75,10870.5,11357.0,714500
2022-12-23,11075.25,11143.0,10916.25,11061.0,534525
2022-12-27,10915.5,11183.75,10896.0,11104.0,499799
2022-12-28,10772.75,10996.5,10758.75,10915.75,635572
2022-12-29,11032.75,11071.5,10777.5,10785.75,470004
2022-12-30,11022.25,11051.5,10855.5,11033.5,462484
2023-01-03,10945.5,11182.0,10844.75,11122.5,657681
2023-01-04,10999.25,11068.5,10863.5,10941.25,758003
2023-01-05,10820.25,11046.75,10805.0,10988.5,694452
2023-01-06,11113.5,11165.75,10751.0,10838.75,736332
2023-01-09,11185.5,11385.5,11120.25,11126.5,646318
2023-01-10,11282.0,11288.75,11094.0,11184.75,559281
2023-01-11,11476.5,11479.5,11239.75,11282.5,500153
2023-01-12,11534.25,11579.75,11291.0,11474.5,754571
2023-01-13,11608.0,11619.5,11389.0,11528.5,482002
2023-01-17,11624.5,11685.0,11510.25,11613.5,576141
2023-01-18,11475.75,11759.5,11468.0,11619.75,619614
2023-01-19,11356.5,11487.0,11308.5,11470.5,594769
2023-01-20,11677.0,11686.75,11365.25,11401.0,577769
2023-01-23,11934.0,11983.0,11650.5,11676.75,593978
2023-01-24,11909.5,12010.5,11835.75,11933.0,511370
2023-01-25,11873.25,11976.5,11604.5,11970.5,633473
2023-01-26,12106.75,12113.0,11867.25,11874.75,621434
2023-01-27,12222.25,12308.5,12016.0,12049.0,588072
2023-01-30,11968.0,12252.0,11960.0,12212.5,634667
2023-01-31,12152.0,12156.0,11871.0,11984.0,585202
2023-02-01,12414.25,12524.5,12055.25,12116.0,668515
2023-02-02,12846.75,12949.75,12501.75,12520.0,817822
2023-02-03,12624.0,12878.0,12551.25,12748.25,824209
2023-02-06,12515.5,12608.5,12455.75,12572.0,535147
2023-02-07,12776.75,12818.5,12459.25,12513.0,744996
2023-02-08,12545.25,12808.5,12512.75,12747.0,590355
2023-02-09,12425.5,12728.5,12366.5,12555.0,612404
2023-02-10,12346.25,12451.5,12243.25,12448.75,600244
2023-02-13,12540.5,12567.0,12265.25,12357.5,467840
2023-02-14,12631.0,12687.0,12390.5,12547.25,719204
2023-02-15,12730.0,12756.5,12524.25,12620.75,568579
2023-02-16,12482.5,12792.75,12455.25,12740.0,682325
2023-02-17,12390.0,12466.25,12265.75,12462.5,629355
2023-02-21,12096.75,12417.75,12090.25,12380.0,609494
2023-02-22,12097.5,12190.5,12034.0,12108.0,640711
2023-02-23,12207.5,12261.0,12028.5,12176.25,640962
2023-02-24,11997.0,12214.5,11923.0,12190.0,643618
2023-02-27,12083.25,12189.5,11990.0,12003.0,578952
2023-02-28,12072.25,12172.75,12025.75,12093.5,646026
2023-03-01,11961.75,12141.75,11924.75,12041.25,759645
2023-03-02,12062.0,12096.25,11832.5,11967.0,752009
2023-03-03,12311.25,12329.0,12012.0,12049.0,675472
2023-03-06,12323.5,12486.25,12276.25,12306.25,612506
2023-03-07,12169.0,12381.25,12142.25,12320.25,685006
2023-03-08,12228.25,12254.5,12108.25,12170.0,633419
2023-03-09,12007.25,12353.5,11977.5,12231.0,816838
2023-03-10,11840.25,12109.0,11795.0,12005.0,871209
2023-03-13,11931.75,12095.75,11674.25,11894.75,694438
2023-03-14,12207.0,12223.0,11921.75,11960.0,364395
2023-03-15,12247.75,12280.0,11972.0,12200.75,261341
2023-03-16,12583.0,12600.5,12189.25,12264.5,181754
2023-03-17,12594.650390625,12636.5,12531.75,12575.75,734052
2023-03-20,12688.5,12750.0,12525.25,12690.0,694471
2023-03-21,12867.25,12898.25,12676.5,12699.75,565860
2023-03-22,12707.0,13082.0,12678.0,12873.25,713083
2023-03-23,12854.0,13031.0,12694.25,12695.0,838385
2023-03-24,12890.25,12924.75,12728.0,12871.5,676547
2023-03-27,12788.5,12984.5,12765.5,12916.0,562634
2023-03-28,12732.5,12833.5,12634.25,12810.5,537965
2023-03-29,12965.0,12994.0,12742.0,12745.5,566316
2023-03-30,13082.0,13111.75,12931.5,12962.5,583151
2023-03-31,13301.75,13311.5,13057.5,13084.25,624955
2023-04-03,13270.0,13278.75,13154.0,13262.0,542896
2023-04-04,13219.0,13348.75,13168.25,13259.0,577032
2023-04-05,13079.75,13247.25,13006.0,13230.0,594608
2023-04-06,13170.75,13191.0,12953.25,13072.75,41224
2023-04-10,13158.0,13203.25,12967.5,13179.75,553003
2023-04-11,13074.75,13208.75,13053.5,13163.25,549047
2023-04-12,12952.25,13241.75,12937.75,13073.75,684779
2023-04-13,13209.75,13228.0,12925.5,12957.0,558233
2023-04-14,13181.25,13255.0,13058.0,13183.0,627824
2023-04-17,13186.5,13218.0,13076.75,13212.5,540742
2023-04-18,13193.0,13298.75,13138.0,13184.0,576668
2023-04-19,13183.0,13226.75,13065.0,13170.5,529506
2023-04-20,13074.25,13200.0,13021.75,13162.0,680299
2023-04-21,13090.5,13122.0,12982.5,13089.0,593982
2023-04-24,13056.5,13134.0,12967.25,13070.0,582286
2023-04-25,12809.5,13059.5,12800.0,13050.25,694266
2023-04-26,12887.75,13012.25,12863.75,12940.0,755124
2023-04-27,13231.25,13333.0,12936.0,12965.0,728241
2023-04-28,13320.25,13336.0,13169.0,13215.0,671058
2023-05-01,13306.75,13370.25,13258.75,13317.0,487908
2023-05-02,13184.5,13334.75,13110.25,13290.0,664855
2023-05-03,13100.75,13314.0,13080.0,13162.0,648753
2023-05-04,13043.75,13173.0,13001.75,13064.0,656440
2023-05-05,13317.75,13359.0,13055.75,13060.0,573291
2023-05-08,13352.25,13368.0,13254.5,13316.0,506054
2023-05-09,13264.75,13347.0,13250.5,13338.5,552248
2023-05-10,13409.5,13446.75,13202.75,13258.75,839699
2023-05-11,13446.5,13470.25,13361.5,13410.0,653399
2023-05-12,13396.25,13494.25,13310.5,13446.0,628035
2023-05-15,13468.0,13480.0,13350.0,13378.75,495940
